Entry No;Booking date;Ledger account;Amount;Posted by;Narration
a_434;23/01/2023;Trade payables;-20.11;Bob;Shovel
a_543;23/01/2023;Trade payables;144.94;Bob;Hedge Trimmer
a_543;23/01/2023;Bank (Postbank) — main account;-144.94;Bob;Hedge Trimmer
a_649;23/01/2023;Trade payables;1390.16;Fred;Leaf Blower
a_649;23/01/2023;Bank (Postbank) — main account;-1390.16;Fred;Leaf Blower
a_877;23/01/2023;Trade payables;171.93;Bob;Garden Shears
a_877;23/01/2023;Bank (Postbank) — main account;-171.93;Bob;Garden Shears
a_888;23/01/2023;Trade payables;191.11;Bob;Wheelbarrow
a_888;23/01/2023;Bank (Postbank) — main account;-191.11;Bob;Wheelbarrow
b_290;23/01/2023;Cost of merchandise, 19% input tax;1.24;David;Gardening Gloves
b_290;23/01/2023;Deductible input tax, 19%;0.24;David;Gardening Gloves
b_290;23/01/2023;Trade payables;-1.48;David;Gardening Gloves
b_315;23/01/2023;Cost of merchandise, 19% input tax;186.8;Alice;Lawn Mower
b_315;23/01/2023;Deductible input tax, 19%;35.49;Alice;Lawn Mower
b_315;23/01/2023;Trade payables;-222.29;Alice;Lawn Mower
b_325;23/01/2023;Cost of merchandise, 19% input tax;18.06;David;Garden Shears
b_325;23/01/2023;Deductible input tax, 19%;3.43;David;Garden Shears
b_325;23/01/2023;Trade payables;-21.49;David;Garden Shears
b_33;23/01/2023;Cost of merchandise, 19% input tax;16.06;Max;Rake
b_33;23/01/2023;Deductible input tax, 19%;3.05;Max;Rake
b_33;23/01/2023;Trade payables;-19.11;Max;Rake
b_433;23/01/2023;Trade payables;19.11;Max;Rake
b_433;23/01/2023;Cash-in-hand;-19.11;Max;Rake
c_502;23/01/2023;Bank (Postbank) — main account;157.66;David;Wheelbarrow
c_502;23/01/2023;Trade receivables;-157.66;David;Wheelbarrow
c_60;23/01/2023;Trade receivables;19.64;Bob;Watering Can
c_60;23/01/2023;Revenue, 19% VAT;-16.5;Bob;Watering Can
c_60;23/01/2023;VAT payable, 19%;-3.14;Bob;Watering Can
g_123;23/01/2023;Cost of merchandise, 19% input tax;96.36;Fred;Rake
g_123;23/01/2023;Deductible input tax, 19%;18.31;Fred;Rake
g_123;23/01/2023;Trade payables;-114.67;Fred;Rake
g_210;23/01/2023;Trade payables;507.3;Charlie;Hedge Trimmer
g_210;23/01/2023;Cash-in-hand;-507.3;Charlie;Hedge Trimmer
h_141;23/01/2023;Bank (Postbank) — main account;63.07;Max;Rake
h_141;23/01/2023;Trade receivables;-63.07;Max;Rake
h_41;23/01/2023;Trade receivables;63.07;Max;Rake
h_41;23/01/2023;Revenue, 19% VAT;-53.0;Max;Rake
h_41;23/01/2023;VAT payable, 19%;-10.07;Max;Rake
x_23;23/01/2023;Packaging materials;905.42;Alice;Packaging materials January
x_23;23/01/2023;Deductible input tax, 19%;172.03;Alice;Packaging materials January
x_23;23/01/2023;Bank (Postbank) — main account;-1077.45;Alice;Packaging materials January
a_126;24/01/2023;Cost of merchandise, 19% input tax;252.84;Alice;Garden Shears
a_126;24/01/2023;Deductible input tax, 19%;48.04;Alice;Garden Shears
a_126;24/01/2023;Trade payables;-300.88;Alice;Garden Shears
a_544;24/01/2023;Trade payables;476.0;Bob;Garden Hose
a_544;24/01/2023;Bank (Postbank) — main account;-476.0;Bob;Garden Hose
a_557;24/01/2023;Trade payables;72.47;Fred;Hedge Trimmer
a_557;24/01/2023;Bank (Postbank) — main account;-72.47;Fred;Hedge Trimmer
b_451;24/01/2023;Trade payables;1.48;Max;Gardening Gloves
b_451;24/01/2023;Cash-in-hand;-1.48;Max;Gardening Gloves
b_499;24/01/2023;Trade payables;23.8;Bob;Garden Hose
b_499;24/01/2023;Cash-in-hand;-23.8;Bob;Garden Hose
b_596;24/01/2023;Trade payables;72.47;Max;Hedge Trimmer
b_596;24/01/2023;Cash-in-hand;-72.47;Max;Hedge Trimmer
c_311;24/01/2023;Trade receivables;165.89;David;Shovel
c_311;24/01/2023;Revenue, 19% VAT;-139.4;David;Shovel
c_311;24/01/2023;VAT payable, 19%;-26.49;David;Shovel
g_124;24/01/2023;Cost of merchandise, 19% input tax;67.6;David;Shovel
g_124;24/01/2023;Deductible input tax, 19%;12.84;David;Shovel
g_124;24/01/2023;Trade payables;-80.44;David;Shovel
g_259;24/01/2023;Trade payables;1242.24;Bob;Wheelbarrow
g_259;24/01/2023;Cash-in-hand;-1242.24;Bob;Wheelbarrow
x_24;24/01/2023;Office supplies;285.8;Alice;Office supplies January
x_24;24/01/2023;Deductible input tax, 19%;54.3;Alice;Office supplies January
x_24;24/01/2023;Cash-in-hand;-340.1;Alice;Office supplies January
b_414;25/01/2023;Trade payables;23.8;David;Garden Hose
b_414;25/01/2023;Cash-in-hand;-23.8;David;Garden Hose
b_45;25/01/2023;Cost of merchandise, 19% input tax;1.24;David;Gardening Gloves
b_45;25/01/2023;Deductible input tax, 19%;0.24;David;Gardening Gloves
b_45;25/01/2023;Trade payables;-1.48;David;Gardening Gloves
b_629;25/01/2023;Trade payables;20.11;Bob;Shovel
b_629;25/01/2023;Cash-in-hand;-20.11;Bob;Shovel
b_638;25/01/2023;Trade payables;19.11;Alice;Rake
b_638;25/01/2023;Cash-in-hand;-19.11;Alice;Rake
b_715;25/01/2023;Trade payables;222.29;Alice;Lawn Mower
b_715;25/01/2023;Cash-in-hand;-222.29;Alice;Lawn Mower
b_725;25/01/2023;Trade payables;21.49;David;Garden Shears
b_725;25/01/2023;Cash-in-hand;-21.49;David;Garden Shears
c_293;25/01/2023;Trade receivables;382.31;Alice;Leaf Blower
c_293;25/01/2023;Revenue, 19% VAT;-321.27;Alice;Leaf Blower
c_293;25/01/2023;VAT payable, 19%;-61.04;Alice;Leaf Blower
c_430;25/01/2023;Bank (Postbank) — main account;39.27;David;Garden Hose
c_430;25/01/2023;Trade receivables;-39.27;David;Garden Hose
c_633;25/01/2023;Bank (Postbank) — main account;733.56;Bob;Lawn Mower
c_633;25/01/2023;Trade receivables;-733.56;Bob;Lawn Mower
g_157;25/01/2023;Trade payables;83.3;Charlie;Watering Can
g_157;25/01/2023;Cash-in-hand;-83.3;Charlie;Watering Can
g_159;25/01/2023;Trade payables;1390.16;Fred;Leaf Blower
g_159;25/01/2023;Cash-in-hand;-1390.16;Fred;Leaf Blower
g_33;25/01/2023;Cost of merchandise, 19% input tax;1043.9;Charlie;Wheelbarrow
g_33;25/01/2023;Deductible input tax, 19%;198.34;Charlie;Wheelbarrow
g_33;25/01/2023;Trade payables;-1242.24;Charlie;Wheelbarrow
a_153;26/01/2023;Cost of merchandise, 19% input tax;90.3;Max;Garden Shears
a_153;26/01/2023;Deductible input tax, 19%;17.16;Max;Garden Shears
a_153;26/01/2023;Trade payables;-107.46;Max;Garden Shears
a_339;26/01/2023;Cost of merchandise, 19% input tax;343.14;Alice;Garden Shears
a_339;26/01/2023;Deductible input tax, 19%;65.2;Alice;Garden Shears
a_339;26/01/2023;Trade payables;-408.34;Alice;Garden Shears
a_388;26/01/2023;Cost of merchandise, 19% input tax;160.6;Bob;Wheelbarrow
a_388;26/01/2023;Deductible input tax, 19%;30.51;Bob;Wheelbarrow
a_388;26/01/2023;Trade payables;-191.11;Bob;Wheelbarrow
a_513;26/01/2023;Trade payables;764.46;David;Wheelbarrow
a_513;26/01/2023;Bank (Postbank) — main account;-764.46;David;Wheelbarrow
a_536;26/01/2023;Trade payables;4001.26;Bob;Lawn Mower
a_536;26/01/2023;Bank (Postbank) — main account;-4001.26;Bob;Lawn Mower
a_82;26/01/2023;Cost of merchandise, 19% input tax;19.84;Max;Gardening Gloves
a_82;26/01/2023;Deductible input tax, 19%;3.77;Max;Gardening Gloves
a_82;26/01/2023;Trade payables;-23.61;Max;Gardening Gloves
b_799;26/01/2023;Trade payables;72.47;David;Hedge Trimmer
b_799;26/01/2023;Cash-in-hand;-72.47;David;Hedge Trimmer
c_394;26/01/2023;Bank (Postbank) — main account;31.54;Max;Rake
c_394;26/01/2023;Trade receivables;-31.54;Max;Rake
c_44;26/01/2023;Trade receivables;31.54;Max;Rake
c_44;26/01/2023;Revenue, 19% VAT;-26.5;Max;Rake
c_44;26/01/2023;VAT payable, 19%;-5.04;Max;Rake
f_180;26/01/2023;Cost of merchandise, 19% input tax;64.24;David;Rake
f_180;26/01/2023;Deductible input tax, 19%;12.21;David;Rake
f_180;26/01/2023;Trade payables;-76.45;David;Rake
f_291;26/01/2023;Trade payables;17.71;Fred;Gardening Gloves
f_291;26/01/2023;Bank (Postbank) — main account;-17.71;Fred;Gardening Gloves
f_68;26/01/2023;Cost of merchandise, 19% input tax;843.7;Bob;Leaf Blower
f_68;26/01/2023;Deductible input tax, 19%;160.3;Bob;Leaf Blower
f_68;26/01/2023;Trade payables;-1004.0;Bob;Leaf Blower
g_273;26/01/2023;Trade payables;114.67;Fred;Rake
g_273;26/01/2023;Cash-in-hand;-114.67;Fred;Rake
i_92;26/01/2023;Cash-in-hand;19.64;Bob;Watering Can
i_92;26/01/2023;Trade receivables;-19.64;Bob;Watering Can
x_25;26/01/2023;Legal and consulting expenses;1496.14;Alice;Legal and consulting January
x_25;26/01/2023;Deductible input tax, 19%;284.27;Alice;Legal and consulting January
x_25;26/01/2023;Bank (Postbank) — main account;-1780.41;Alice;Legal and consulting January
a_267;27/01/2023;Cost of merchandise, 19% input tax;16.12;Bob;Gardening Gloves
a_267;27/01/2023;Deductible input tax, 19%;3.06;Bob;Gardening Gloves
a_267;27/01/2023;Trade payables;-19.18;Bob;Gardening Gloves
a_289;27/01/2023;Cost of merchandise, 19% input tax;140.0;Max;Garden Hose
a_289;27/01/2023;Deductible input tax, 19%;26.6;Max;Garden Hose
a_289;27/01/2023;Trade payables;-166.6;Max;Garden Hose
b_131;27/01/2023;Cost of merchandise, 19% input tax;16.9;Max;Shovel
b_131;27/01/2023;Deductible input tax, 19%;3.21;Max;Shovel
b_131;27/01/2023;Trade payables;-20.11;Max;Shovel
b_276;27/01/2023;Cost of merchandise, 19% input tax;64.9;Bob;Leaf Blower
b_276;27/01/2023;Deductible input tax, 19%;12.33;Bob;Leaf Blower
b_276;27/01/2023;Trade payables;-77.23;Bob;Leaf Blower
b_319;27/01/2023;Cost of merchandise, 19% input tax;186.8;Alice;Lawn Mower
b_319;27/01/2023;Deductible input tax, 19%;35.49;Alice;Lawn Mower
b_319;27/01/2023;Trade payables;-222.29;Alice;Lawn Mower
b_381;27/01/2023;Cost of merchandise, 19% input tax;16.06;Max;Rake
b_381;27/01/2023;Deductible input tax, 19%;3.05;Max;Rake
b_381;27/01/2023;Trade payables;-19.11;Max;Rake
b_399;27/01/2023;Cost of merchandise, 19% input tax;60.9;David;Hedge Trimmer
b_399;27/01/2023;Deductible input tax, 19%;11.57;David;Hedge Trimmer
b_399;27/01/2023;Trade payables;-72.47;David;Hedge Trimmer
b_445;27/01/2023;Trade payables;1.48;David;Gardening Gloves
b_445;27/01/2023;Cash-in-hand;-1.48;David;Gardening Gloves
c_290;27/01/2023;Trade receivables;509.75;Alice;Leaf Blower
c_290;27/01/2023;Revenue, 19% VAT;-428.36;Alice;Leaf Blower
c_290;27/01/2023;VAT payable, 19%;-81.39;Alice;Leaf Blower
c_640;27/01/2023;Bank (Postbank) — main account;509.75;Alice;Leaf Blower
c_640;27/01/2023;Trade receivables;-509.75;Alice;Leaf Blower
c_643;27/01/2023;Bank (Postbank) — main account;382.31;Alice;Leaf Blower
c_643;27/01/2023;Trade receivables;-382.31;Alice;Leaf Blower
g_179;27/01/2023;Trade payables;1815.58;Fred;Wheelbarrow
g_179;27/01/2023;Cash-in-hand;-1815.58;Fred;Wheelbarrow
g_183;27/01/2023;Trade payables;1242.24;Charlie;Wheelbarrow
g_183;27/01/2023;Cash-in-hand;-1242.24;Charlie;Wheelbarrow
g_75;27/01/2023;Cost of merchandise, 19% input tax;373.6;Max;Lawn Mower
g_75;27/01/2023;Deductible input tax, 19%;70.98;Max;Lawn Mower
g_75;27/01/2023;Trade payables;-444.58;Max;Lawn Mower
i_57;27/01/2023;Cash-in-hand;35.46;Fred;Garden Shears
i_57;27/01/2023;Trade receivables;-35.46;Fred;Garden Shears
i_7;27/01/2023;Trade receivables;35.46;Fred;Garden Shears
i_7;27/01/2023;Revenue, 19% VAT;-29.8;Fred;Garden Shears
i_7;27/01/2023;VAT payable, 19%;-5.66;Fred;Garden Shears
a_423;30/01/2023;Cost of merchandise, 19% input tax;220.0;David;Garden Hose
a_423;30/01/2023;Deductible input tax, 19%;41.8;David;Garden Hose
a_423;30/01/2023;Trade payables;-261.8;David;Garden Hose
a_582;30/01/2023;Trade payables;23.61;Max;Gardening Gloves
a_582;30/01/2023;Bank (Postbank) — main account;-23.61;Max;Gardening Gloves
a_602;30/01/2023;Trade payables;1081.23;David;Leaf Blower
a_602;30/01/2023;Bank (Postbank) — main account;-1081.23;David;Leaf Blower
a_789;30/01/2023;Trade payables;166.6;Max;Garden Hose
a_789;30/01/2023;Bank (Postbank) — main account;-166.6;Max;Garden Hose
a_923;30/01/2023;Trade payables;261.8;David;Garden Hose
a_923;30/01/2023;Bank (Postbank) — main account;-261.8;David;Garden Hose
a_934;30/01/2023;Trade payables;20.11;Bob;Shovel
a_934;30/01/2023;Bank (Postbank) — main account;-20.11;Bob;Shovel
b_204;30/01/2023;Cost of merchandise, 19% input tax;1.24;Bob;Gardening Gloves
b_204;30/01/2023;Deductible input tax, 19%;0.24;Bob;Gardening Gloves
b_204;30/01/2023;Trade payables;-1.48;Bob;Gardening Gloves
b_264;30/01/2023;Cost of merchandise, 19% input tax;186.8;Alice;Lawn Mower
b_264;30/01/2023;Deductible input tax, 19%;35.49;Alice;Lawn Mower
b_264;30/01/2023;Trade payables;-222.29;Alice;Lawn Mower
b_781;30/01/2023;Trade payables;19.11;Max;Rake
b_781;30/01/2023;Cash-in-hand;-19.11;Max;Rake
c_141;30/01/2023;Trade receivables;39.27;Bob;Garden Hose
c_141;30/01/2023;Revenue, 19% VAT;-33.0;Bob;Garden Hose
c_141;30/01/2023;VAT payable, 19%;-6.27;Bob;Garden Hose
c_410;30/01/2023;Bank (Postbank) — main account;19.64;Bob;Watering Can
c_410;30/01/2023;Trade receivables;-19.64;Bob;Watering Can
f_145;30/01/2023;Cost of merchandise, 19% input tax;48.18;Bob;Rake
f_145;30/01/2023;Deductible input tax, 19%;9.15;Bob;Rake
f_145;30/01/2023;Trade payables;-57.33;Bob;Rake
f_280;30/01/2023;Trade payables;154.46;Bob;Leaf Blower
f_280;30/01/2023;Bank (Postbank) — main account;-154.46;Bob;Leaf Blower
g_131;30/01/2023;Cost of merchandise, 19% input tax;252.84;Max;Garden Shears
g_131;30/01/2023;Deductible input tax, 19%;48.04;Max;Garden Shears
g_131;30/01/2023;Trade payables;-300.88;Max;Garden Shears
g_281;30/01/2023;Trade payables;300.88;Max;Garden Shears
g_281;30/01/2023;Cash-in-hand;-300.88;Max;Garden Shears
g_9;30/01/2023;Cost of merchandise, 19% input tax;1168.2;Fred;Leaf Blower
g_9;30/01/2023;Deductible input tax, 19%;221.96;Fred;Leaf Blower
g_9;30/01/2023;Trade payables;-1390.16;Fred;Leaf Blower
a_115;31/01/2023;Cost of merchandise, 19% input tax;36.12;Bob;Garden Shears
a_115;31/01/2023;Deductible input tax, 19%;6.86;Bob;Garden Shears
a_115;31/01/2023;Trade payables;-42.98;Bob;Garden Shears
a_809;31/01/2023;Trade payables;3556.67;David;Lawn Mower
a_809;31/01/2023;Bank (Postbank) — main account;-3556.67;David;Lawn Mower
b_104;31/01/2023;Cost of merchandise, 19% input tax;64.9;Alice;Leaf Blower
b_104;31/01/2023;Deductible input tax, 19%;12.33;Alice;Leaf Blower
b_104;31/01/2023;Trade payables;-77.23;Alice;Leaf Blower
b_718;31/01/2023;Trade payables;11.9;Max;Watering Can
b_718;31/01/2023;Cash-in-hand;-11.9;Max;Watering Can
b_719;31/01/2023;Trade payables;222.29;Alice;Lawn Mower
b_719;31/01/2023;Cash-in-hand;-222.29;Alice;Lawn Mower
c_292;31/01/2023;Trade receivables;637.19;Alice;Leaf Blower
c_292;31/01/2023;Revenue, 19% VAT;-535.45;Alice;Leaf Blower
c_292;31/01/2023;VAT payable, 19%;-101.74;Alice;Leaf Blower
c_661;31/01/2023;Bank (Postbank) — main account;165.89;David;Shovel
c_661;31/01/2023;Trade receivables;-165.89;David;Shovel
f_268;31/01/2023;Trade payables;1004.0;Bob;Leaf Blower
f_268;31/01/2023;Bank (Postbank) — main account;-1004.0;Bob;Leaf Blower
f_71;31/01/2023;Cost of merchandise, 19% input tax;18.06;David;Garden Shears
f_71;31/01/2023;Deductible input tax, 19%;3.43;David;Garden Shears
f_71;31/01/2023;Trade payables;-21.49;David;Garden Shears
i_42;31/01/2023;Trade receivables;19.64;Bob;Watering Can
i_42;31/01/2023;Revenue, 19% VAT;-16.5;Bob;Watering Can
i_42;31/01/2023;VAT payable, 19%;-3.14;Bob;Watering Can
a_217;01/02/2023;Cost of merchandise, 19% input tax;64.9;Max;Leaf Blower
a_217;01/02/2023;Deductible input tax, 19%;12.33;Max;Leaf Blower
a_217;01/02/2023;Trade payables;-77.23;Max;Leaf Blower
a_626;01/02/2023;Trade payables;300.88;Alice;Garden Shears
a_626;01/02/2023;Bank (Postbank) — main account;-300.88;Alice;Garden Shears
a_673;01/02/2023;Trade payables;140.78;Bob;Shovel
a_673;01/02/2023;Bank (Postbank) — main account;-140.78;Bob;Shovel
a_68;01/02/2023;Cost of merchandise, 19% input tax;140.0;Max;Watering Can
a_68;01/02/2023;Deductible input tax, 19%;26.6;Max;Watering Can
a_68;01/02/2023;Trade payables;-166.6;Max;Watering Can
b_203;01/02/2023;Cost of merchandise, 19% input tax;186.8;Alice;Lawn Mower
b_203;01/02/2023;Deductible input tax, 19%;35.49;Alice;Lawn Mower
b_203;01/02/2023;Trade payables;-222.29;Alice;Lawn Mower
b_531;01/02/2023;Trade payables;20.11;Max;Shovel
b_531;01/02/2023;Cash-in-hand;-20.11;Max;Shovel
b_676;01/02/2023;Trade payables;77.23;Bob;Leaf Blower
b_676;01/02/2023;Cash-in-hand;-77.23;Bob;Leaf Blower
c_274;01/02/2023;Trade receivables;788.32;Alice;Wheelbarrow
c_274;01/02/2023;Revenue, 19% VAT;-662.45;Alice;Wheelbarrow
c_274;01/02/2023;VAT payable, 19%;-125.87;Alice;Wheelbarrow
f_80;01/02/2023;Cost of merchandise, 19% input tax;129.8;Bob;Leaf Blower
f_80;01/02/2023;Deductible input tax, 19%;24.66;Bob;Leaf Blower
f_80;01/02/2023;Trade payables;-154.46;Bob;Leaf Blower
g_101;01/02/2023;Cost of merchandise, 19% input tax;2988.8;Charlie;Lawn Mower
g_101;01/02/2023;Deductible input tax, 19%;567.87;Charlie;Lawn Mower
g_101;01/02/2023;Trade payables;-3556.67;Charlie;Lawn Mower
g_19;01/02/2023;Cost of merchandise, 19% input tax;300.0;Charlie;Garden Hose
g_19;01/02/2023;Deductible input tax, 19%;57.0;Charlie;Garden Hose
g_19;01/02/2023;Trade payables;-357.0;Charlie;Garden Hose
h_156;01/02/2023;Bank (Postbank) — main account;4.88;Bob;Gardening Gloves
h_156;01/02/2023;Trade receivables;-4.88;Bob;Gardening Gloves
a_178;02/02/2023;Cost of merchandise, 19% input tax;365.4;David;Hedge Trimmer
a_178;02/02/2023;Deductible input tax, 19%;69.43;David;Hedge Trimmer
a_178;02/02/2023;Trade payables;-434.83;David;Hedge Trimmer
a_653;02/02/2023;Trade payables;107.46;Max;Garden Shears
a_653;02/02/2023;Bank (Postbank) — main account;-107.46;Max;Garden Shears
a_839;02/02/2023;Trade payables;408.34;Alice;Garden Shears
a_839;02/02/2023;Bank (Postbank) — main account;-408.34;Alice;Garden Shears
b_129;02/02/2023;Cost of merchandise, 19% input tax;64.9;Alice;Leaf Blower
b_129;02/02/2023;Deductible input tax, 19%;12.33;Alice;Leaf Blower
b_129;02/02/2023;Trade payables;-77.23;Alice;Leaf Blower
b_318;02/02/2023;Cost of merchandise, 19% input tax;10.0;Max;Watering Can
b_318;02/02/2023;Deductible input tax, 19%;1.9;Max;Watering Can
b_318;02/02/2023;Trade payables;-11.9;Max;Watering Can
b_526;02/02/2023;Trade payables;20.11;David;Shovel
b_526;02/02/2023;Cash-in-hand;-20.11;David;Shovel
c_10;02/02/2023;Trade receivables;33.18;Bob;Shovel
c_10;02/02/2023;Revenue, 19% VAT;-27.88;Bob;Shovel
c_10;02/02/2023;VAT payable, 19%;-5.3;Bob;Shovel
c_173;02/02/2023;Trade receivables;2.44;David;Gardening Gloves
c_173;02/02/2023;Revenue, 19% VAT;-2.05;David;Gardening Gloves
c_173;02/02/2023;VAT payable, 19%;-0.39;David;Gardening Gloves
c_305;02/02/2023;Trade receivables;509.75;Bob;Leaf Blower
c_305;02/02/2023;Revenue, 19% VAT;-428.36;Bob;Leaf Blower
c_305;02/02/2023;VAT payable, 19%;-81.39;Bob;Leaf Blower
c_642;02/02/2023;Bank (Postbank) — main account;637.19;Alice;Leaf Blower
c_642;02/02/2023;Trade receivables;-637.19;Alice;Leaf Blower
f_125;02/02/2023;Cost of merchandise, 19% input tax;110.0;Fred;Watering Can
f_125;02/02/2023;Deductible input tax, 19%;20.9;Fred;Watering Can
f_125;02/02/2023;Trade payables;-130.9;Fred;Watering Can
g_225;02/02/2023;Trade payables;444.58;Max;Lawn Mower
g_225;02/02/2023;Cash-in-hand;-444.58;Max;Lawn Mower
g_62;02/02/2023;Cost of merchandise, 19% input tax;1525.7;Max;Wheelbarrow
g_62;02/02/2023;Deductible input tax, 19%;289.88;Max;Wheelbarrow
g_62;02/02/2023;Cash-in-hand;-1815.58;Max;Wheelbarrow
g_88;02/02/2023;Cost of merchandise, 19% input tax;883.3;Max;Wheelbarrow
g_88;02/02/2023;Deductible input tax, 19%;167.83;Max;Wheelbarrow
g_88;02/02/2023;Trade payables;-1051.13;Max;Wheelbarrow
x_26;02/02/2023;Salaries;2051.42;Alice;Salary Max February
x_26;02/02/2023;Bank (Postbank) — main account;-2051.42;Alice;Salary Max February
x_29;02/02/2023;Salaries;2051.42;Alice;Salary Alice February
x_29;02/02/2023;Bank (Postbank) — main account;-2051.42;Alice;Salary Alice February
x_32;02/02/2023;Salaries;2051.42;Alice;Salary Bob February
x_32;02/02/2023;Bank (Postbank) — main account;-2051.42;Alice;Salary Bob February
x_35;02/02/2023;Salaries;1880.65;Max;Salary Charlie February
x_35;02/02/2023;Cash-in-hand;-1880.65;Max;Salary Charlie February
x_38;02/02/2023;Salaries;1880.65;Alice;Salary David February
x_38;02/02/2023;Bank (Postbank) — main account;-1880.65;Alice;Salary David February
a_186;03/02/2023;Cost of merchandise, 19% input tax;1298.0;David;Leaf Blower
a_186;03/02/2023;Deductible input tax, 19%;246.62;David;Leaf Blower
a_186;03/02/2023;Trade payables;-1544.62;David;Leaf Blower
a_372;03/02/2023;Cost of merchandise, 19% input tax;1298.0;Max;Leaf Blower
a_372;03/02/2023;Deductible input tax, 19%;246.62;Max;Leaf Blower
a_372;03/02/2023;Trade payables;-1544.62;Max;Leaf Blower
a_453;03/02/2023;Cost of merchandise, 19% input tax;180.0;Max;Watering Can
a_453;03/02/2023;Deductible input tax, 19%;34.2;Max;Watering Can
a_453;03/02/2023;Trade payables;-214.2;Max;Watering Can
a_484;03/02/2023;Cost of merchandise, 19% input tax;6.2;Max;Gardening Gloves
a_484;03/02/2023;Deductible input tax, 19%;1.18;Max;Gardening Gloves
a_484;03/02/2023;Trade payables;-7.38;Max;Gardening Gloves
a_678;03/02/2023;Trade payables;434.83;David;Hedge Trimmer
a_678;03/02/2023;Bank (Postbank) — main account;-434.83;David;Hedge Trimmer
a_686;03/02/2023;Trade payables;1544.62;David;Leaf Blower
a_686;03/02/2023;Bank (Postbank) — main account;-1544.62;David;Leaf Blower
a_767;03/02/2023;Trade payables;19.18;Bob;Gardening Gloves
a_767;03/02/2023;Bank (Postbank) — main account;-19.18;Bob;Gardening Gloves
a_781;03/02/2023;Trade payables;1390.16;David;Leaf Blower
a_781;03/02/2023;Bank (Postbank) — main account;-1390.16;David;Leaf Blower
b_126;03/02/2023;Cost of merchandise, 19% input tax;16.9;David;Shovel
b_126;03/02/2023;Deductible input tax, 19%;3.21;David;Shovel
b_126;03/02/2023;Trade payables;-20.11;David;Shovel
b_690;03/02/2023;Trade payables;1.48;David;Gardening Gloves
b_690;03/02/2023;Cash-in-hand;-1.48;David;Gardening Gloves
c_150;03/02/2023;Trade receivables;39.27;Bob;Garden Hose
c_150;03/02/2023;Revenue, 19% VAT;-33.0;Bob;Garden Hose
c_150;03/02/2023;VAT payable, 19%;-6.27;Bob;Garden Hose
c_491;03/02/2023;Bank (Postbank) — main account;39.27;Bob;Garden Hose
c_491;03/02/2023;Trade receivables;-39.27;Bob;Garden Hose
c_655;03/02/2023;Bank (Postbank) — main account;509.75;Bob;Leaf Blower
c_655;03/02/2023;Trade receivables;-509.75;Bob;Leaf Blower
f_325;03/02/2023;Trade payables;130.9;Fred;Watering Can
f_325;03/02/2023;Bank (Postbank) — main account;-130.9;Fred;Watering Can
f_7;03/02/2023;Cost of merchandise, 19% input tax;50.7;Max;Shovel
f_7;03/02/2023;Deductible input tax, 19%;9.63;Max;Shovel
f_7;03/02/2023;Trade payables;-60.33;Max;Shovel
g_104;03/02/2023;Cost of merchandise, 19% input tax;304.2;David;Shovel
g_104;03/02/2023;Deductible input tax, 19%;57.8;David;Shovel
g_104;03/02/2023;Trade payables;-362.0;David;Shovel
h_62;03/02/2023;Trade receivables;478.28;Max;Hedge Trimmer
h_62;03/02/2023;Revenue, 19% VAT;-401.92;Max;Hedge Trimmer
h_62;03/02/2023;VAT payable, 19%;-76.36;Max;Hedge Trimmer
x_41;03/02/2023;Rent — immovable property;22500.0;Alice;Rent February
x_41;03/02/2023;Bank (Postbank) — main account;-22500.0;Alice;Rent February
a_242;06/02/2023;Cost of merchandise, 19% input tax;321.2;Alice;Wheelbarrow
a_242;06/02/2023;Deductible input tax, 19%;61.03;Alice;Wheelbarrow
a_242;06/02/2023;Trade payables;-382.23;Alice;Wheelbarrow
a_336;06/02/2023;Cost of merchandise, 19% input tax;160.0;David;Garden Hose
a_336;06/02/2023;Deductible input tax, 19%;30.4;David;Garden Hose
a_336;06/02/2023;Trade payables;-190.4;David;Garden Hose
a_872;06/02/2023;Trade payables;1544.62;Max;Leaf Blower
a_872;06/02/2023;Bank (Postbank) — main account;-1544.62;Max;Leaf Blower
a_953;06/02/2023;Trade payables;214.2;Max;Watering Can
a_953;06/02/2023;Bank (Postbank) — main account;-214.2;Max;Watering Can
a_981;06/02/2023;Trade payables;4445.84;Bob;Lawn Mower
a_981;06/02/2023;Bank (Postbank) — main account;-4445.84;Bob;Lawn Mower
b_1;06/02/2023;Cost of merchandise, 19% input tax;186.8;Alice;Lawn Mower
b_1;06/02/2023;Deductible input tax, 19%;35.49;Alice;Lawn Mower
b_1;06/02/2023;Trade payables;-222.29;Alice;Lawn Mower
b_107;06/02/2023;Cost of merchandise, 19% input tax;60.9;Alice;Hedge Trimmer
b_107;06/02/2023;Deductible input tax, 19%;11.57;Alice;Hedge Trimmer
b_107;06/02/2023;Trade payables;-72.47;Alice;Hedge Trimmer
b_110;06/02/2023;Cost of merchandise, 19% input tax;186.8;Alice;Lawn Mower
b_110;06/02/2023;Deductible input tax, 19%;35.49;Alice;Lawn Mower
b_110;06/02/2023;Trade payables;-222.29;Alice;Lawn Mower
b_127;06/02/2023;Cost of merchandise, 19% input tax;186.8;Alice;Lawn Mower
b_127;06/02/2023;Deductible input tax, 19%;35.49;Alice;Lawn Mower
b_127;06/02/2023;Trade payables;-222.29;Alice;Lawn Mower
